,호선,역번호,역명,출근_승차,출근_하차,퇴근_승차,퇴근_하차,출근_비교,퇴근_비교,행정동
0,1호선,150,서울역,1198460,3665104,5708841,3068695,-2466644,2640146,소공동
1,1호선,151,시청,217737,2673247,3473787,924230,-2455510,2549557,소공동
2,1호선,152,종각,219115,3654308,5062363,1527371,-3435193,3534992,종로1.2.3.4가동
3,1호선,153,종로3가,198022,1012858,2850171,1332921,-814836,1517250,종로1.2.3.4가동
4,1호선,154,종로5가,188097,1440646,2811197,1171493,-1252549,1639704,종로5.6가동
5,1호선,155,동대문,450844,373925,845568,755377,76919,90191,종로5.6가동
6,1호선,156,신설동,610793,804755,1278697,883515,-193962,395182,용두동
7,1호선,157,제기동,610342,626694,1336786,965867,-16352,370919,제기동
8,1호선,158,청량리(서울시립대입구),1039072,699542,1507197,1524330,339530,-17133,전농1동
9,1호선,159,동묘앞,222811,323802,835081,482890,-100991,352191,숭인1동
10,2호선,201,시청,156245,2759788,3569022,759487,-2603543,2809535,소공동
11,2호선,202,을지로입구,320442,4458992,6209787,2148645,-4138550,4061142,을지로동
12,2호선,203,을지로3가,202471,2444367,3087822,1140844,-2241896,1946978,을지로동
13,2호선,204,을지로4가,168564,1172285,1750337,595927,-1003721,1154410,을지로동
14,2호선,205,동대문역사문화공원(DDP),266547,772988,1491462,1145636,-506441,345826,광희동
15,2호선,206,신당,846246,529678,1020813,1437265,316568,-416452,신당5동
16,2호선,207,상왕십리,1136371,474135,842277,1357711,662236,-515434,왕십리2동
17,2호선,208,왕십리(성동구청),768621,467944,1124215,1400041,300677,-275826,행당2동
18,2호선,209,한양대,162447,710987,1216138,472803,-548540,743335,사근동
19,2호선,210,뚝섬,498600,1775942,2978267,1363771,-1277342,1614496,성수1가1동
20,2호선,211,성수,614836,3358379,5251554,2269609,-2743543,2981945,성수1가1동
21,2호선,212,건대입구,1617000,974052,2657581,4091748,642948,-1434167,화양동
22,2호선,213,구의(광진구청),2000234,744600,1291275,2381409,1255634,-1090134,구의2동
23,2호선,214,강변(동서울터미널),2084392,874298,1919561,3002309,1210094,-1082748,구의1동
24,2호선,215,잠실나루,924108,726279,1039043,1090618,197829,-51575,잠실4동
25,2호선,216,잠실(송파구청),3163024,2758730,6941206,6627496,404294,313710,잠실6동
26,2호선,217,잠실새내,1465704,517817,1387773,2398041,947887,-1010268,잠실3동
27,2호선,218,종합운동장,438496,527545,871537,1552431,-89049,-680894,잠실7동
28,2호선,219,삼성(무역센터),399413,4769718,7603550,2071288,-4370305,5532262,삼성1동
29,2호선,220,선릉,643016,4040805,6946107,1838104,-3397789,5108003,삼성2동
30,2호선,221,역삼,494467,5037117,6950710,1777277,-4542650,5173433,역삼1동
31,2호선,222,강남,1165123,4636570,8502289,4898023,-3471447,3604266,역삼1동
32,2호선,223,교대(법원.검찰청),702483,2211570,3271171,2116917,-1509087,1154254,서초3동
33,2호선,224,서초,548803,1732213,2383606,876081,-1183410,1507525,서초4동
34,2호선,225,방배,601285,1061443,1605546,1092590,-460158,512956,방배본동
35,2호선,226,사당,1932285,1536430,2852876,4517853,395855,-1664977,사당2동
36,2호선,227,낙성대(강감찬),2231450,665121,1500014,2631426,1566329,-1131412,봉천1동
37,2호선,228,서울대입구(관악구청),3307051,1036458,2710730,4506043,2270593,-1795313,봉천1동
38,2호선,229,봉천,2218640,428486,1027049,2345253,1790154,-1318204,봉천1동
39,2호선,230,신림,5038703,857027,2541701,5838360,4181676,-3296659,신림동
40,2호선,231,신대방,2485821,496147,1089368,2572772,1989674,-1483404,신대방1동
41,2호선,232,구로디지털단지,3680813,2981203,4792941,4409652,699610,383289,구로5동
42,2호선,233,대림(구로구청),1883874,826404,1452391,2083575,1057470,-631184,대림3동
43,2호선,234,신도림,3294030,1639087,3466826,4548151,1654943,-1081325,신도림동
44,2호선,235,문래,1019509,1599579,2203164,1545020,-580070,658144,문래동
45,2호선,236,영등포구청,950585,1599639,2091979,1458855,-649054,633124,영등포동
