지점,지점명,일시,평균기온(°C),최저기온(°C),강수 계속시간(hr),1시간 최다강수량(mm),일강수량(mm)
108,서울,2023-01-01,-0.2,-4.3,,,
108,서울,2023-01-02,-4.5,-7.4,,,
108,서울,2023-01-03,-5.0,-9.0,,,
108,서울,2023-01-04,-1.8,-5.7,,,
108,서울,2023-01-05,-1.6,-5.6,,,
108,서울,2023-01-06,0.6,-4.7,4.78,,3.9
108,서울,2023-01-07,1.5,-1.4,1.42,,0.1
108,서울,2023-01-08,1.3,-3.7,,,
108,서울,2023-01-09,3.1,-1.3,,,
108,서울,2023-01-10,1.6,-3.9,,,
108,서울,2023-01-11,2.6,-2.0,,,
108,서울,2023-01-12,5.9,-0.6,0.92,,0.0
108,서울,2023-01-13,8.3,5.1,23.08,,37.3
108,서울,2023-01-14,6.6,3.8,16.33,,1.6
108,서울,2023-01-15,-0.2,-3.5,23.17,,3.2
108,서울,2023-01-16,-4.6,-6.8,8.5,,0.0
108,서울,2023-01-17,-3.7,-7.0,2.92,,0.0
108,서울,2023-01-18,-1.9,-4.6,1.5,,0.0
108,서울,2023-01-19,-0.4,-6.0,4.0,,1.0
108,서울,2023-01-20,-3.3,-7.7,,,
108,서울,2023-01-21,-4.5,-10.5,,,
108,서울,2023-01-22,-0.6,-2.8,2.0,,0.0
108,서울,2023-01-23,-0.8,-6.9,,,
108,서울,2023-01-24,-14.7,-17.0,0.92,,0.0
108,서울,2023-01-25,-11.3,-17.3,0.17,,0.0
108,서울,2023-01-26,-6.0,-9.0,14.92,,0.8
108,서울,2023-01-27,-7.3,-9.6,,,
108,서울,2023-01-28,-6.0,-11.2,0.17,,0.0
108,서울,2023-01-29,-1.8,-8.0,,,
108,서울,2023-01-30,-0.9,-4.4,,,
108,서울,2023-01-31,2.4,-3.5,,,
108,서울,2023-02-01,0.9,-3.0,,,
108,서울,2023-02-02,-2.4,-5.1,,,
108,서울,2023-02-03,-1.6,-3.9,,,
108,서울,2023-02-04,-0.2,-5.2,,,
108,서울,2023-02-05,1.7,-3.3,,,
108,서울,2023-02-06,3.0,-1.7,,,
108,서울,2023-02-07,3.5,-0.6,,,
108,서울,2023-02-08,2.1,-1.3,,,
108,서울,2023-02-09,4.0,-2.8,0.67,,0.0
108,서울,2023-02-10,3.8,1.1,9.92,,0.6
108,서울,2023-02-11,2.8,-1.2,,,
108,서울,2023-02-12,3.7,-0.9,,,
108,서울,2023-02-13,5.9,2.7,,,
108,서울,2023-02-14,1.7,-2.5,,,
108,서울,2023-02-15,3.2,-1.2,,,
108,서울,2023-02-16,2.3,-0.7,,,0.0
108,서울,2023-02-17,3.4,-1.5,,,
108,서울,2023-02-18,5.7,3.0,,,
108,서울,2023-02-19,3.5,0.2,2.92,,0.4
108,서울,2023-02-20,-0.5,-3.5,,,
108,서울,2023-02-21,-1.3,-5.3,,,
108,서울,2023-02-22,1.2,-4.5,,,
108,서울,2023-02-23,2.9,-1.8,,,
108,서울,2023-02-24,3.5,-0.4,,,
108,서울,2023-02-25,0.7,-2.9,,,
108,서울,2023-02-26,2.2,-3.4,,,
108,서울,2023-02-27,4.4,-1.8,,,
108,서울,2023-02-28,4.3,-0.7,,,
108,서울,2023-03-01,6.0,2.9,,,
108,서울,2023-03-02,2.2,-1.8,,,
108,서울,2023-03-03,4.6,-1.9,,,
108,서울,2023-03-04,7.7,3.7,,,
108,서울,2023-03-05,8.0,2.5,,,
108,서울,2023-03-06,9.2,2.2,,,
108,서울,2023-03-07,11.7,6.3,,,
108,서울,2023-03-08,12.5,7.4,1.08,,1.2
108,서울,2023-03-09,10.3,7.4,4.83,,3.7
108,서울,2023-03-10,13.5,6.2,,,
108,서울,2023-03-11,15.2,10.2,,,
108,서울,2023-03-12,5.9,0.6,6.33,,5.6
108,서울,2023-03-13,2.9,-1.9,,,
108,서울,2023-03-14,9.2,3.3,,,
108,서울,2023-03-15,8.6,3.5,,,
108,서울,2023-03-16,4.6,0.4,,,
108,서울,2023-03-17,7.2,0.7,,,
108,서울,2023-03-18,7.7,2.5,,,
108,서울,2023-03-19,8.3,2.3,,,
108,서울,2023-03-20,9.5,2.6,,,
108,서울,2023-03-21,13.0,5.0,,,
108,서울,2023-03-22,17.0,9.2,,,
108,서울,2023-03-23,17.4,12.3,2.92,,0.0
108,서울,2023-03-24,12.5,7.6,,,
108,서울,2023-03-25,12.5,8.0,,,
108,서울,2023-03-26,9.4,4.7,,,
108,서울,2023-03-27,7.3,1.9,,,
108,서울,2023-03-28,9.2,2.8,,,
108,서울,2023-03-29,11.8,5.1,,,
108,서울,2023-03-30,13.3,6.4,,,
108,서울,2023-03-31,15.0,7.5,,,
108,서울,2023-04-01,17.5,9.4,,,
108,서울,2023-04-02,18.8,11.9,,,
108,서울,2023-04-03,19.0,11.3,,,
108,서울,2023-04-04,17.6,12.7,5.08,3.1,6.9
108,서울,2023-04-05,11.9,8.7,22.5,9.0,50.3
108,서울,2023-04-06,8.8,7.4,19.17,1.5,2.7
108,서울,2023-04-07,8.9,4.6,,,
108,서울,2023-04-08,8.8,3.1,,,
108,서울,2023-04-09,10.8,3.5,,,
108,서울,2023-04-10,13.2,6.2,,,
108,서울,2023-04-11,13.1,9.2,6.92,2.6,2.9
108,서울,2023-04-12,10.1,4.8,,,
108,서울,2023-04-13,11.9,5.1,0.25,0.0,0.0
108,서울,2023-04-14,16.2,11.9,,,
108,서울,2023-04-15,13.5,9.3,3.0,3.6,4.6
108,서울,2023-04-16,10.8,7.5,0.48,0.0,0.0
108,서울,2023-04-17,13.1,6.8,,,
108,서울,2023-04-18,14.0,10.7,8.42,0.6,1.5
108,서울,2023-04-19,19.1,11.5,,,
108,서울,2023-04-20,15.8,14.5,9.17,0.5,0.5
108,서울,2023-04-21,16.7,11.4,,,
108,서울,2023-04-22,16.9,12.2,,,
108,서울,2023-04-23,16.1,10.7,,,
108,서울,2023-04-24,15.8,11.5,,,
108,서울,2023-04-25,10.9,9.0,13.25,0.4,0.4
108,서울,2023-04-26,10.2,7.4,0.58,0.0,0.0
108,서울,2023-04-27,12.9,5.1,,,
108,서울,2023-04-28,15.7,9.0,2.83,1.7,1.9
108,서울,2023-04-29,13.2,9.9,13.83,4.9,25.1
108,서울,2023-04-30,12.7,7.9,2.92,0.1,0.1
108,서울,2023-05-01,14.6,9.8,,,
108,서울,2023-05-02,16.7,9.1,,,
108,서울,2023-05-03,19.5,12.4,,,
108,서울,2023-05-04,21.4,15.6,,,
108,서울,2023-05-05,18.4,15.5,22.67,9.3,30.2
108,서울,2023-05-06,12.6,11.7,16.42,9.3,47.5
108,서울,2023-05-07,14.4,11.1,,,
108,서울,2023-05-08,15.3,7.9,,,
108,서울,2023-05-09,17.0,10.0,,,
108,서울,2023-05-10,18.4,10.7,,,
108,서울,2023-05-11,19.5,12.8,,,
108,서울,2023-05-12,18.4,13.1,,,
108,서울,2023-05-13,17.8,12.6,0.17,0.0,0.0
108,서울,2023-05-14,18.1,12.9,,,
108,서울,2023-05-15,20.6,12.8,,,
108,서울,2023-05-16,24.0,17.2,,,
108,서울,2023-05-17,23.5,18.6,,,
108,서울,2023-05-18,21.2,18.8,0.83,1.3,1.3
108,서울,2023-05-19,22.3,16.7,,,
108,서울,2023-05-20,21.2,16.6,,,
108,서울,2023-05-21,17.8,15.3,5.58,0.2,0.2
108,서울,2023-05-22,20.3,15.9,0.33,0.0,0.0
