기준_년분기_코드,행정동_코드,행정동,총_상주인구_수,총_가구_수,총_직장_인구_수
20231,11110690,창신3동,6905,2911,300
20231,11170700,보광동,14985,7784,1059
20231,11170560,원효로1동,12933,8035,4677
20231,11170625,한강로동,12463,10405,47142
20231,11215840,자양3동,28608,11170,3370
20231,11215760,중곡3동,17505,8551,1489
20231,11230650,장안1동,36646,18258,10768
20231,11230560,전농1동,28613,15185,1537
20231,11230720,휘경1동,12887,7186,1421
20231,11230730,휘경2동,23906,11851,4402
20231,11260550,면목5동,9670,6602,1080
20231,11260580,상봉1동,25886,10297,2499
20231,11290575,동선동,15848,9347,2511
20231,11290525,성북동,16414,8225,23717
20231,11290600,안암동,5435,9202,4686
20231,11320700,방학2동,21677,9509,1017
20231,11320515,창5동,26631,10266,7114
20231,11350600,공릉2동,41090,16502,7078
20231,11350670,상계5동,27306,11023,1861
20231,11380551,갈현1동,24611,11152,2607
20231,11380590,응암2동,17038,11005,1048
20231,11410585,신촌동,17521,13316,5047
20231,11410615,연희동,37904,18862,14856
20231,11440680,합정동,18775,10285,5738
20231,11470590,신월4동,18943,6961,1813
20231,11500520,등촌1동,21207,13153,8609
20231,11560720,대림3동,24878,10429,6057
20231,11560605,문래동,32692,13355,81647
20231,11560630,신길1동,17202,10413,3535
20231,11560535,영등포동,17225,18953,14217
20231,11590650,사당4동,14300,7154,1399
20231,11590550,상도3동,25055,12051,1371
20231,11650560,반포1동,28508,14274,7332
20231,11650570,반포2동,12641,5109,9861
20231,11650621,방배4동,22692,9812,21837
20231,11650510,서초1동,20781,9350,47386
20231,11650530,서초3동,25750,14565,68236
20231,11650652,양재2동,23406,10829,43401
20231,11680630,대치4동,20756,10328,33305
20231,11680655,도곡1동,21644,8661,40888
20231,11680580,삼성1동,12969,5675,130157
20231,11710580,송파1동,26130,12434,8660
20231,11710680,잠실3동,37310,12130,21831
20231,11710710,잠실6동,16882,5983,46691
20231,11710646,장지동,32060,12080,6769
20231,11710520,풍납2동,23982,11071,23596
20231,11740560,고덕2동,8110,8705,1985
20231,11740685,길동,46207,21589,9468
20231,11110670,창신1동,5666,2960,1307
20231,11140605,을지로동,1457,1504,15914
20231,11140570,필동,3851,2408,17346
20231,11200615,금호2?3가동,24420,10318,697
20231,11200645,옥수동,23133,11091,4791
20231,11200580,응봉동,16178,6128,1688
20231,11230536,용신동,25063,18390,23899
20231,11260660,망우3동,17398,8431,1076
20231,11260570,면목7동,22266,10708,1410
20231,11290610,보문동,12473,7827,6952
20231,11290620,정릉1동,18977,7502,1152
20231,11305535,미아동,22868,11775,1850
20231,11305603,번2동,18104,7659,1380
20231,11320521,도봉1동,22048,10426,2162
